algoritmo,k,silueta_promedio,db,ch,ari_mod,ari_cuartil,entropia,cobertura,base_aleatoria,base_modalidad,n_grupos,n_proveedores,descalificado,motivos
kmeans,7,0.2580663363138835,1.1499245897396033,921.5751843170291,-0.010380274403741884,0.19142548505850907,0.82285075850129,100.0,-0.03872200846672058,0.10401756068070729,7.0,3,False,
kmeans,8,0.2429014096657435,1.1633216739285868,882.0162184830351,-0.009394379843588657,0.18125384947905954,0.8445870064108609,100.0,-0.025121572117010754,0.10401756068070729,8.0,3,False,
kmeans,9,0.2487368037303289,1.1487528175824633,847.3723133655571,-0.007886363885651008,0.17516861397651054,0.8327943481563399,100.0,-0.030099834005037945,0.10401756068070729,9.0,3,False,
kmeans,10,0.2354048192501068,1.1172098809671496,822.9809920150774,0.03647750371649879,0.17769597625412473,0.8533061178310396,100.0,-0.04392077152927717,0.10401756068070729,10.0,3,False,
jerarquico,3,0.5900151332219442,0.9232581586842782,565.8607135697599,-0.08314400469659856,0.0001722139597805026,0.2930437214841918,100.0,-0.003998941276222467,0.10401756068070729,3.0,3,True,P1: entropía de tamaños 0.231 < 0.5 | P2: entropía de tamaños 0.230 < 0.5 | P3: entropía de tamaños 0.419 < 0.5
jerarquico,4,0.5324688156445821,1.0313346460679638,510.38915394351744,-0.10511047649905499,0.00013877192572295214,0.30874870879190053,100.0,-0.01835671905428171,0.10401756068070729,4.0,3,True,P1: entropía de tamaños 0.215 < 0.5 | P2: entropía de tamaños 0.308 < 0.5 | P3: entropía de tamaños 0.404 < 0.5
jerarquico,5,0.44206780195236206,1.0356870750989993,459.7319684468244,-0.11161680308581583,7.98440887455543e-05,0.32519044450753887,100.0,-0.026925470679998398,0.10401756068070729,5.0,3,True,P1: entropía de tamaños 0.341 < 0.5 | P2: entropía de tamaños 0.275 < 0.5 | P3: entropía de tamaños 0.359 < 0.5
jerarquico,6,0.4176291724046071,1.0151251649616142,415.6571673246198,-0.11372811349043858,0.00012171469862050111,0.3176301914290975,100.0,-0.02240292790035407,0.10401756068070729,6.0,3,True,P1: entropía de tamaños 0.325 < 0.5 | P2: entropía de tamaños 0.271 < 0.5 | P3: entropía de tamaños 0.357 < 0.5
jerarquico,7,0.39262999097506207,1.011820239220703,428.02673740237464,-0.12274871513048123,0.00028482095275852195,0.34785127278580824,100.0,-0.03872200846672058,0.10401756068070729,7.0,3,True,P1: entropía de tamaños 0.305 < 0.5 | P2: entropía de tamaños 0.342 < 0.5 | P3: entropía de tamaños 0.396 < 0.5
jerarquico,8,0.39095331231753033,0.98222647578051,378.387972012682,-0.12326637842160225,0.00029391448851499386,0.330849878747741,100.0,-0.025121572117010754,0.10401756068070729,8.0,3,True,P1: entropía de tamaños 0.287 < 0.5 | P2: entropía de tamaños 0.331 < 0.5 | P3: entropía de tamaños 0.375 < 0.5
