algoritmo,k,silueta_promedio,db,ch,ari_mod,ari_cuartil,entropia,cobertura,base_aleatoria,base_modalidad,n_grupos,n_proveedores,descalificado,motivos
kmedoids,3,0.44213491181532544,1.4866053293714323,896.0782585022968,0.3798816936595923,0.011034217502201406,0.8225890432895495,100.0,-0.00487482671936353,0.32424229880174,3.0,3,False,
kmedoids,4,0.3638352503379186,1.3544425864097125,835.2631854696565,0.3319353147050124,0.09154529371756868,0.8738094153385045,100.0,-0.012612084858119488,0.32424229880174,4.0,3,True,P1: no supera la línea base modalidad (0.2362 <= 0.2414)
kmedoids,5,0.29608163237571716,1.4221883879064332,826.1439296924478,0.2620196472575583,0.15220407886409443,0.9360088369828499,100.0,-0.017195449210703373,0.32424229880174,5.0,3,True,P1: no supera la línea base modalidad (0.2311 <= 0.2414) | P2: no supera la línea base modalidad (0.3226 <= 0.3854) | P3: no supera la línea base modalidad (0.3345 <= 0.3460)
kmedoids,6,0.27018936971823376,1.6106420691523606,735.1307109125177,0.3361388974238022,0.14509538589935697,0.9554248780210486,100.0,-0.02251528576016426,0.32424229880174,6.0,3,True,P1: no supera la línea base modalidad (0.2295 <= 0.2414) | P2: no supera la línea base modalidad (0.2873 <= 0.3854) | P3: no supera la línea base modalidad (0.2938 <= 0.3460)
kmedoids,7,0.2620087613662084,1.4717820816828018,725.7238719671514,0.2474907778584582,0.22444764092293834,0.9762028244234262,100.0,-0.025968915472428005,0.32424229880174,7.0,3,True,P1: no supera la línea base modalidad (0.2165 <= 0.2414) | P2: no supera la línea base modalidad (0.2777 <= 0.3854) | P3: no supera la línea base modalidad (0.2918 <= 0.3460)
kmedoids,8,0.27082741757233936,1.423404881292307,708.1864339249445,0.2224136421533811,0.2114453804712834,0.9611887555334606,100.0,-0.028943697611490887,0.32424229880174,8.0,3,True,P1: no supera la línea base modalidad (0.2223 <= 0.2414) | P2: no supera la línea base modalidad (0.2883 <= 0.3854) | P3: no supera la línea base modalidad (0.3019 <= 0.3460)
kmedoids,9,0.26770665248235065,1.4627219264836189,665.6093540537945,0.2294042227988626,0.18946360479641391,0.9644841127953679,100.0,-0.031122867638866108,0.32424229880174,9.0,3,True,P1: no supera la línea base modalidad (0.2193 <= 0.2414) | P2: no supera la línea base modalidad (0.2792 <= 0.3854) | P3: no supera la línea base modalidad (0.3047 <= 0.3460)
kmedoids,10,0.2631575216849645,1.441641520067357,634.805498161559,0.20336633066731666,0.16420984471695918,0.9614869904021236,100.0,-0.042104446639617286,0.32424229880174,10.0,3,True,P1: no supera la línea base modalidad (0.2233 <= 0.2414) | P2: no supera la línea base modalidad (0.2758 <= 0.3854) | P3: no supera la línea base modalidad (0.2904 <= 0.3460)
densidad,2,0.5420502622922262,1.1573071178827314,937.4328405168503,0.3894130522024768,0.010682840992108584,0.6719728442694981,99.48888888888888,-0.002531961477264607,0.32424229880174,2.6666666666666665,3,True,P1: entropía de tamaños 0.347 < 0.5
densidad,3,0.5420502622922262,1.1573071178827314,937.4328405168503,0.3894130522024768,0.010682840992108584,0.6719728442694981,99.48888888888888,-0.002531961477264607,0.32424229880174,2.6666666666666665,3,True,P1: entropía de tamaños 0.347 < 0.5
gmm,3,0.3099972903728485,2.1238787146528253,459.41024210617456,0.6686536134740612,0.028522933634611922,0.7824307558395386,100.0,-0.00487482671936353,0.32424229880174,3.0,3,True,P2: no supera la línea base modalidad (0.3559 <= 0.3854) | P3: no supera la línea base modalidad (0.3220 <= 0.3460)
gmm,4,0.33295145630836487,1.9245177813125174,659.8758587556614,0.5845508376838903,0.030203660144639866,0.8159391708894073,100.0,-0.012612084858119488,0.32424229880174,4.0,3,True,P1: no supera la línea base modalidad (0.1928 <= 0.2414)
gmm,5,0.3230069875717163,1.8839231546643174,568.8736098014807,0.681295845645959,0.030390248076630055,0.8162451272243674,100.0,-0.017195449210703373,0.32424229880174,5.0,3,True,P1: no supera la línea base modalidad (0.2005 <= 0.2414)
gmm,6,0.3197036584218343,2.0148160002710527,519.7951514245268,0.6816915911277933,0.034398490191107974,0.7881181549772883,100.0,-0.02251528576016426,0.32424229880174,6.0,3,True,P1: no supera la línea base modalidad (0.2068 <= 0.2414) | P2: no supera la línea base modalidad (0.3822 <= 0.3854)
gmm,7,0.22433249652385712,2.262345433826374,405.59436634563417,0.6080491864731099,0.024149858249334733,0.7254439391777551,100.0,-0.025968915472428005,0.32424229880174,7.0,3,True,P1: no supera la línea base modalidad (0.1840 <= 0.2414) | P2: no supera la línea base modalidad (0.2060 <= 0.3854) | P3: no supera la línea base modalidad (0.2831 <= 0.3460)
gmm,8,0.16234840949376425,3.340867672082153,381.7616040816808,0.5510812642474854,0.030199467035180394,0.7564733668175089,100.0,-0.028943697611490887,0.32424229880174,8.0,3,True,P1: no supera la línea base modalidad (0.1575 <= 0.2414) | P2: no supera la línea base modalidad (0.1841 <= 0.3854) | P3: no supera la línea base modalidad (0.1454 <= 0.3460)
gmm,9,0.14832508812348047,3.237989655599344,383.26905211187585,0.44433668893161876,0.03213755377104971,0.8638070152703725,100.0,-0.031122867638866108,0.32424229880174,9.0,3,True,P1: no supera la línea base modalidad (0.1344 <= 0.2414) | P2: no supera la línea base modalidad (0.1144 <= 0.3854) | P3: no supera la línea base modalidad (0.1961 <= 0.3460)
gmm,10,0.1563564638296763,3.3480873196562277,343.8624183269275,0.48824527491361125,0.028104030657048102,0.8608225845410135,100.0,-0.042104446639617286,0.32424229880174,10.0,3,True,P1: no supera la línea base modalidad (0.1362 <= 0.2414) | P2: no supera la línea base modalidad (0.1604 <= 0.3854) | P3: no supera la línea base modalidad (0.1725 <= 0.3460)
